AuditID,SpeciesID,SpeciesName,ConservationStatus,Habitat,RegionID,Population,AverageSize,MaxSize,LifeSpan,CommercialValue,CatchLimit,BreedingSeason,ImageURL,ChangeType,ChangeDate
1,1,Salmon,Vulnerable,Freshwater,1,120000,75.00,85.00,7,20.00,15000.00,Summer,https://scottishwildlifetrust.org.uk/wp-content/uploads/2019/03/Salmon-Charlie-Phillips_EDITED.jpg,INSERT,"2024-08-16 05:37:56"
2,2,Tuna,Endangered,Marine,2,50000,200.00,250.00,15,150.00,20000.00,Summer,https://i0.wp.com/bluefina.com/wp-content/uploads/2021/08/pacific-bluefin.webp?fit=929%2C624&ssl=1,INSERT,"2024-08-16 05:37:56"
3,3,Grouper,"Least Concern","Coral Reef",3,80000,60.00,80.00,10,30.00,10000.00,Winter,"https://www.blueocean-eg.com/photos/news/Grouper%20fish,%20Red%20Sea,%20Marsa%20Alam_a711c_lg.jpg",INSERT,"2024-08-16 05:37:56"
4,4,Anchovy,"Near Threatened",Marine,4,200000,25.00,30.00,3,5.00,5000.00,Spring,https://a-z-animals.com/media/anchovies-1.jpg,INSERT,"2024-08-16 05:37:56"
5,5,Swordfish,Endangered,Pelagic,5,15000,250.00,300.00,12,200.00,25000.00,Summer,https://fishing-guides-slovenia.b-cdn.net/wp-content/uploads/swordfish-2-1024x682.webp,INSERT,"2024-08-16 05:37:56"
6,6,Char,"Least Concern",Freshwater,6,30000,50.00,60.00,10,10.00,8000.00,Fall,https://a-z-animals.com/media/2022/08/shutterstock_1454856311.jpg,INSERT,"2024-08-16 05:37:56"
7,7,Toothfish,Endangered,Marine,7,12000,100.00,120.00,15,180.00,22000.00,Winter,https://www.capbourbon.fr/wp-content/uploads/2017/03/cap-bourbon-la-legine-en-profondeurs.jpg,INSERT,"2024-08-16 05:37:56"
8,8,"Baltic Herring","Least Concern",Marine,8,500000,30.00,40.00,4,7.00,4000.00,Summer,https://helcom.fi/wp-content/uploads/2019/08/Baltic-herring-Riku-Lumiaro-SYKE-1024x576.jpg,INSERT,"2024-08-16 05:37:56"
9,9,"Red Sea Snapper","Near Threatened","Coral Reef",9,60000,45.00,55.00,6,25.00,7000.00,Spring,https://s3.amazonaws.com/media.jungledragon.com/images/2994/43074_medium.jpg?AWSAccessKeyId=05GMT0V3GWVNE7GGM1R2&Expires=1725494410&Signature=9OCf792CWF55xVPHGUxYsuQip6o%3D,INSERT,"2024-08-16 05:37:56"
10,10,"Great Lakes Walleye","Least Concern",Freshwater,10,100000,50.00,70.00,10,15.00,6000.00,Fall,https://oodmag.com/wp-content/uploads/2017/07/Walleye-W-2500-resized.jpg,INSERT,"2024-08-16 05:37:56"
